Year;TradeFlowName;PartnerName;PartnerISO3;Partner Region;Partner Income Group;ProductCode;TradeValue in 1000 USD
2021;Export;Afghanistan;AFG;South Asia;Low income;2;133.699
2021;Export;Afghanistan;AFG;South Asia;Low income;3;213.698
2021;Export;Afghanistan;AFG;South Asia;Low income;4;167.552
2021;Export;Afghanistan;AFG;South Asia;Low income;7;67.33
2021;Export;Afghanistan;AFG;South Asia;Low income;9;3.877
2021;Export;Afghanistan;AFG;South Asia;Low income;11;3.13
2021;Export;Afghanistan;AFG;South Asia;Low income;12;155.436
2021;Export;Afghanistan;AFG;South Asia;Low income;15;19.398
2021;Export;Afghanistan;AFG;South Asia;Low income;16;82.771
2021;Export;Afghanistan;AFG;South Asia;Low income;17;11.514
2021;Export;Afghanistan;AFG;South Asia;Low income;18;3.885
2021;Export;Afghanistan;AFG;South Asia;Low income;19;81.328
2021;Export;Afghanistan;AFG;South Asia;Low income;20;56.328
2021;Export;Afghanistan;AFG;South Asia;Low income;21;2.582
2021;Export;Afghanistan;AFG;South Asia;Low income;22;57.776
2021;Export;Afghanistan;AFG;South Asia;Low income;25;67.07
2021;Export;Afghanistan;AFG;South Asia;Low income;28;1.445
2021;Export;Afghanistan;AFG;South Asia;Low income;29;2.192
2021;Export;Afghanistan;AFG;South Asia;Low income;30;439.248
2021;Export;Afghanistan;AFG;South Asia;Low income;33;2005.431
2021;Export;Afghanistan;AFG;South Asia;Low income;34;8.532
2021;Export;Afghanistan;AFG;South Asia;Low income;38;114.486
2021;Export;Afghanistan;AFG;South Asia;Low income;39;31.19
2021;Export;Afghanistan;AFG;South Asia;Low income;40;1239.951
2021;Export;Afghanistan;AFG;South Asia;Low income;48;50.143
2021;Export;Afghanistan;AFG;South Asia;Low income;53;12.874
2021;Export;Afghanistan;AFG;South Asia;Low income;61;3.296
2021;Export;Afghanistan;AFG;South Asia;Low income;62;21.26
2021;Export;Afghanistan;AFG;South Asia;Low income;63;66.943
2021;Export;Afghanistan;AFG;South Asia;Low income;73;14.95
2021;Export;Afghanistan;AFG;South Asia;Low income;82;268.581
2021;Export;Afghanistan;AFG;South Asia;Low income;84;2231.428
2021;Export;Afghanistan;AFG;South Asia;Low income;85;2097.039
2021;Export;Afghanistan;AFG;South Asia;Low income;87;1500.067
2021;Export;Afghanistan;AFG;South Asia;Low income;90;389.767
2021;Export;Afghanistan;AFG;South Asia;Low income;94;45.478
2021;Export;Afghanistan;AFG;South Asia;Low income;96;14.107
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;1;2085.188
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;2;8784.632
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;3;19837.226
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;4;15872.101
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;5;796.282
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;6;5366.884
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;7;1371.778
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;8;5646.751
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;9;21125.218
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;10;8040.762
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;11;1861.179
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;12;1837.802
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;13;525.69
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;14;28.612
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;15;6832.226
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;16;16632.965
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;17;676.373
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;18;4067.275
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;19;34402.502
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;20;8474.451
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;21;21997.838
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;22;43402.981
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;23;14325.903
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;24;689.399
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;25;7912.585
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;26;18.704
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;27;171898.528
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;28;8272.543
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;29;2868.647
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;30;31967.465
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;31;4632.45
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;32;12631.86
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;33;21027.266
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;34;22348.341
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;35;6053.451
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;36;8.261
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;37;184.283
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;38;10276.903
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;39;79145.146
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;40;9227.001
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;41;114402.202
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;42;4165.543
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;43;425.606
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;44;6717.648
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;45;266.68
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;46;134.306
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;47;156.098
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;48;46336.818
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;49;1772.047
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;50;538.336
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;51;5535.002
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;52;40182.332
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;53;3963.8
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;54;26763.763
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;55;9249.884
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;56;13351.453
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;57;401.832
2021;Export;Albania;ALB;Europe & Central Asia;Upper middle income;58;12277.196
